2021/12/19 15:10:01.728872 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 15:10:01.729197 [INFO] Log Publish not set, skipping...
2021/12/19 15:30:02.103707 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 15:30:02.104084 [INFO] Log Publish not set, skipping...
2021/12/19 15:50:01.304011 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 15:50:01.304326 [INFO] Log Publish not set, skipping...
2021/12/19 16:10:01.767338 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 16:10:01.768094 [INFO] Log Publish not set, skipping...
2021/12/19 16:30:02.067029 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 16:30:02.067411 [INFO] Log Publish not set, skipping...
2021/12/19 16:50:01.391519 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 16:50:01.391910 [INFO] Log Publish not set, skipping...
2021/12/19 17:10:01.800303 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 17:10:01.802398 [INFO] Log Publish not set, skipping...
2021/12/19 17:30:01.948495 [INFO] no eb envtier info file found, skip loading env tier info.
2021/12/19 17:30:01.948812 [INFO] Log Publish not set, skipping...
